"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\chord\Documents\GitHub\Nuggies\.eslintrc.json", "JSON", 47, 0, 0, 0, 0, 0, 47
"c:\Users\chord\Documents\GitHub\Nuggies\.github\FUNDING.yml", "YAML", 0, 0, 0, 10, 1, 2, 13
"c:\Users\chord\Documents\GitHub\Nuggies\.github\dependabot.yml", "YAML", 0, 0, 0, 6, 4, 2, 12
"c:\Users\chord\Documents\GitHub\Nuggies\README.md", "Markdown", 0, 0, 3, 0, 0, 1, 4
"c:\Users\chord\Documents\GitHub\Nuggies\data\helpmessages.json", "JSON", 21, 0, 0, 0, 0, 0, 21
"c:\Users\chord\Documents\GitHub\Nuggies\functions\mongo.js", "JavaScript", 0, 267, 0, 0, 56, 3, 326
"c:\Users\chord\Documents\GitHub\Nuggies\handler-example.js", "JavaScript", 0, 17, 0, 0, 2, 3, 22
"c:\Users\chord\Documents\GitHub\Nuggies\index.js", "JavaScript", 0, 101, 0, 0, 12, 13, 126
"c:\Users\chord\Documents\GitHub\Nuggies\models\afkSchema.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\chord\Documents\GitHub\Nuggies\models\blacklistSchema.js", "JavaScript", 0, 5, 0, 0, 0, 2, 7
"c:\Users\chord\Documents\GitHub\Nuggies\models\channelSchema.js", "JavaScript", 0, 7, 0, 0, 0, 1, 8
"c:\Users\chord\Documents\GitHub\Nuggies\models\currencySchema.js", "JavaScript", 0, 8, 0, 0, 0, 0, 8
"c:\Users\chord\Documents\GitHub\Nuggies\models\guilds.js", "JavaScript", 0, 35, 0, 0, 0, 3, 38
"c:\Users\chord\Documents\GitHub\Nuggies\models\muteRoleSchema.js", "JavaScript", 0, 8, 0, 0, 0, 3, 11
"c:\Users\chord\Documents\GitHub\Nuggies\models\prefixSchema.js", "JavaScript", 0, 8, 0, 0, 1, 3, 12
"c:\Users\chord\Documents\GitHub\Nuggies\models\users.js", "JavaScript", 0, 28, 0, 0, 0, 3, 31
"c:\Users\chord\Documents\GitHub\Nuggies\models\warningSchema.js", "JavaScript", 0, 7, 0, 0, 0, 0, 7
"c:\Users\chord\Documents\GitHub\Nuggies\package-lock.json", "JSON", 5870, 0, 0, 0, 0, 1, 5871
"c:\Users\chord\Documents\GitHub\Nuggies\package.json", "JSON", 35, 0, 0, 0, 0, 1, 36
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\angrystare.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\bite.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\bleh.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\blush.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\brofist.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\celebrate.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\cheers.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\clap.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\confused.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\cry.js", "JavaScript", 0, 26, 0, 0, 1, 4, 31
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\cuddle.js", "JavaScript", 0, 29, 0, 0, 1, 4, 34
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\dance.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\drool.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\embarrassed.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\feed.js", "JavaScript", 0, 29, 0, 0, 1, 5, 35
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\fire.js", "JavaScript", 0, 26, 0, 0, 1, 3, 30
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\handhold.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\happy.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\headbang.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\hug.js", "JavaScript", 0, 27, 0, 0, 1, 3, 31
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\kiss.js", "JavaScript", 0, 29, 0, 0, 1, 5, 35
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\laugh.js", "JavaScript", 0, 26, 0, 0, 1, 4, 31
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\lick.js", "JavaScript", 0, 33, 0, 0, 1, 5, 39
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\love.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\mad.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\nervous.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\no.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
