Date : 2021-03-01 14:22:51
Directory : c:\Users\chord\Documents\GitHub\Nuggies
Total : 161 files,  12083 codes, 271 comments, 632 blanks, all 12986 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        153 |      6,064 |        266 |        625 |      6,955 |
| JSON       |          5 |      6,000 |          0 |          2 |      6,002 |
| YAML       |          2 |         16 |          5 |          4 |         25 |
| Markdown   |          1 |          3 |          0 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        161 |     12,083 |        271 |        632 |     12,986 |
| .github                                                                     |          2 |         16 |          5 |          4 |         25 |
| data                                                                        |          1 |         21 |          0 |          0 |         21 |
| functions                                                                   |          1 |        267 |         56 |          3 |        326 |
| models                                                                      |          9 |        113 |          1 |         17 |        131 |
| src                                                                         |        138 |      5,473 |        179 |        575 |      6,227 |
| src\commands                                                                |        132 |      5,291 |        160 |        535 |      5,986 |
| src\commands\action                                                         |         58 |      1,988 |         58 |        148 |      2,194 |
| src\commands\fun                                                            |         22 |      1,129 |         27 |         94 |      1,250 |
| src\commands\info                                                           |          9 |        592 |         24 |         53 |        669 |
| src\commands\misc                                                           |         12 |        394 |         12 |         45 |        451 |
| src\commands\mod                                                            |         16 |        691 |         22 |        120 |        833 |
| src\commands\owner                                                          |          9 |        258 |         11 |         43 |        312 |
| src\commands\utility                                                        |          6 |        239 |          6 |         32 |        277 |
| src\events                                                                  |          6 |        182 |         19 |         40 |        241 |
| utils                                                                       |          4 |        120 |         16 |         14 |        150 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\chord\Documents\GitHub\Nuggies\.eslintrc.json                      | JSON       |         47 |          0 |          0 |         47 |
| c:\Users\chord\Documents\GitHub\Nuggies\.github\FUNDING.yml                 | YAML       |         10 |          1 |          2 |         13 |
| c:\Users\chord\Documents\GitHub\Nuggies\.github\dependabot.yml              | YAML       |          6 |          4 |          2 |         12 |
| c:\Users\chord\Documents\GitHub\Nuggies\README.md                           | Markdown   |          3 |          0 |          1 |          4 |
| c:\Users\chord\Documents\GitHub\Nuggies\data\helpmessages.json              | JSON       |         21 |          0 |          0 |         21 |
| c:\Users\chord\Documents\GitHub\Nuggies\functions\mongo.js                  | JavaScript |        267 |         56 |          3 |        326 |
| c:\Users\chord\Documents\GitHub\Nuggies\handler-example.js                  | JavaScript |         17 |          2 |          3 |         22 |
| c:\Users\chord\Documents\GitHub\Nuggies\index.js                            | JavaScript |        101 |         12 |         13 |        126 |
| c:\Users\chord\Documents\GitHub\Nuggies\models\afkSchema.js                 | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\chord\Documents\GitHub\Nuggies\models\blacklistSchema.js           | JavaScript |          5 |          0 |          2 |          7 |
| c:\Users\chord\Documents\GitHub\Nuggies\models\channelSchema.js             | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\chord\Documents\GitHub\Nuggies\models\currencySchema.js            | JavaScript |          8 |          0 |          0 |          8 |
| c:\Users\chord\Documents\GitHub\Nuggies\models\guilds.js                    | JavaScript |         35 |          0 |          3 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\models\muteRoleSchema.js            | JavaScript |          8 |          0 |          3 |         11 |
| c:\Users\chord\Documents\GitHub\Nuggies\models\prefixSchema.js              | JavaScript |          8 |          1 |          3 |         12 |
| c:\Users\chord\Documents\GitHub\Nuggies\models\users.js                     | JavaScript |         28 |          0 |          3 |         31 |
| c:\Users\chord\Documents\GitHub\Nuggies\models\warningSchema.js             | JavaScript |          7 |          0 |          0 |          7 |
| c:\Users\chord\Documents\GitHub\Nuggies\package-lock.json                   | JSON       |      5,870 |          0 |          1 |      5,871 |
| c:\Users\chord\Documents\GitHub\Nuggies\package.json                        | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\angrystare.js   | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\bite.js         | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\bleh.js         | JavaScript |         35 |          1 |          2 |         38 |
